LST,NDBI,NDVI,distance_m,Year,Corridor,EXP
31.914935282407512,-0.11631071311703473,0.27817935295029844,100,2006,N1,0
31.656850493026397,-0.12262543024652266,0.28810284723918633,250,2006,N1,0
31.41121796156858,-0.12903525721159795,0.29648125099549477,500,2006,N1,0
31.297714379603665,-0.1303539505825047,0.29964447129768645,750,2006,N1,0
31.23906483075037,-0.13073955418795977,0.30148557744589566,1000,2006,N1,0
31.16117032045591,-0.1320137651864686,0.3057582032966147,1500,2006,N1,0
31.104381567816958,-0.13254905545861895,0.3089317390496939,2000,2006,N1,0
31.045770219491587,-0.1329768225654757,0.31160559133641497,3000,2006,N1,0
30.97653554975924,-0.16448388931511795,0.29167479119379724,100,2009,N1,0
30.65464676195984,-0.16881583425398103,0.2975482650367889,250,2009,N1,0
30.36746115442902,-0.17427123281454732,0.30486249454113595,500,2009,N1,0
30.244749214267596,-0.17602456158595006,0.3083637978888262,750,2009,N1,0
30.181923483162564,-0.17711553602702015,0.31092411457873353,1000,2009,N1,0
30.091585321757794,-0.1796509544292695,0.3145457236432436,1500,2009,N1,0
30.04282269586903,-0.18071339171225828,0.31631956014146306,2000,2009,N1,0
30.0181078907369,-0.18134203419607783,0.3180343032266277,3000,2009,N1,0
31.692765449250675,-0.14485946987978376,0.4368627910658065,100,2019,N1,1
31.266302289646855,-0.15136622472019942,0.449576016773787,250,2019,N1,1
30.908579178603926,-0.15920087864873475,0.4633982939467691,500,2019,N1,1
30.752933912764025,-0.16314817220189673,0.4710944527890765,750,2019,N1,1
30.659920495389994,-0.16587650313792224,0.4763405577803503,1000,2019,N1,1
30.541163550177025,-0.17049209900494097,0.4840370791519693,1500,2019,N1,1
30.438452847959937,-0.17404491957831145,0.4890166045245191,2000,2019,N1,1
30.285844755554624,-0.17842095189927626,0.49550652651082544,3000,2019,N1,1
31.719643386948047,-0.1871536532768208,0.44787222929820414,100,2024,N1,1
31.22681199784744,-0.19406445167613412,0.4568257286816796,250,2024,N1,1
30.833420344885884,-0.20260771768355512,0.46792988065249114,500,2024,N1,1
30.64295405613979,-0.2070246330661836,0.47359057050883724,750,2024,N1,1
30.53763840594875,-0.21008088303824843,0.47734605966768995,1000,2024,N1,1
30.404438911901824,-0.21426296262869207,0.48244919647288703,1500,2024,N1,1
30.302663460976103,-0.217678513004109,0.4868571300211127,2000,2024,N1,1
30.159809771088867,-0.22269575668074573,0.4930414622084035,3000,2024,N1,1
31.500340885587576,-0.11101002720114247,0.24014705785903373,100,2006,N3,0
31.28695210325779,-0.11331651877230212,0.24616458377873326,250,2006,N3,0
31.091814044513345,-0.11495313637800084,0.2485375084816155,500,2006,N3,0
30.97799662103869,-0.11615096738154536,0.24946818934055287,750,2006,N3,0
30.928277608255346,-0.11642613166686909,0.250774224357162,1000,2006,N3,0
30.85937842485738,-0.1174433448182754,0.2541955707576472,1500,2006,N3,0
30.785684130717485,-0.11843122042015447,0.2548518091369395,2000,2006,N3,0
30.65392202373729,-0.11948608366020864,0.2532816301481022,3000,2006,N3,0
32.03904589068702,-0.1898160758376081,0.15616404676133788,100,2009,N3,0
31.705694924567783,-0.1922061349340761,0.16041430912488533,250,2009,N3,0
31.389829257747127,-0.1935147581520169,0.16461661500062402,500,2009,N3,0
31.227896929240746,-0.1940550260693324,0.1669278228303707,750,2009,N3,0
31.12506169079102,-0.1938282434090243,0.16825793662188698,1000,2009,N3,0
30.99257630938224,-0.19312307471509702,0.1708693792064956,1500,2009,N3,0
30.893006134464486,-0.19347426399702625,0.17355066817538803,2000,2009,N3,0
30.715607377608475,-0.19396401589258191,0.17805278312106604,3000,2009,N3,0
33.54840410606864,-0.08421165835651427,0.4043776042518325,100,2019,N3,1
33.059400150219695,-0.10666530314918778,0.4346369396640213,250,2019,N3,1
32.634368738041175,-0.12128482166897407,0.45308375643274407,500,2019,N3,1
32.3792690396569,-0.12908271518226372,0.4642117173065321,750,2019,N3,1
32.193302250039075,-0.13509083528520285,0.4717786386068651,1000,2019,N3,1
31.92516872571766,-0.1449601803154503,0.48340137782025444,1500,2019,N3,1
31.758587009851734,-0.1506968832245648,0.4920058153896015,2000,2019,N3,1
31.56231291850865,-0.15649038049571526,0.5000072385510334,3000,2019,N3,1
34.81408805700321,-0.19339838684736294,0.27052452040802033,100,2024,N3,1
34.33558487977823,-0.2012310388438836,0.2818933510365837,250,2024,N3,1
33.91992248571072,-0.2083100519966739,0.2887575192293357,500,2024,N3,1
33.650635075502215,-0.2120604787289588,0.2937017162221002,750,2024,N3,1
33.415991098955885,-0.21472274927824977,0.298774166429708,1000,2024,N3,1
33.0491314887742,-0.22024951324508144,0.30643593906538297,1500,2024,N3,1
32.78491070783647,-0.22429587126210312,0.31332812591407017,2000,2024,N3,1
32.462553622149564,-0.22955382000408414,0.32108558193813574,3000,2024,N3,1
